folder_name,dataset,model,optimizer,seed,learning_rate_grid,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,final_train_loss,final_val_loss,final_val_metric
adults_LightGBM_SPSA_1337_1750185624,adults,LightGBM,SPSA,1337,"0.1, 0.01, 0.001",0.8731702323676938,0.8136183008430884,0.8408700850531232,0.7943917229270624,0.8685436878866986,0.8685132795201216,0.8731702323676938,-0.8867809840680786,-0.8795905310300703,0.8795905310300703
adults_LightGBM_SPSA_1337_1750185628,adults,LightGBM,SPSA,1337,"0.1, 0.01, 0.001",0.8542327771522162,0.7571310410944287,0.8585821437167359,0.7203835019850143,0.837192420686838,0.8555314173824707,0.8542327771522162,-0.8564207562863907,-0.8578374920025592,0.8578374920025592
adults_LightGBM_SPSA_2025_1750185657,adults,LightGBM,SPSA,2025,"0.1, 0.01, 0.001",0.8710205752891801,0.8131396230457215,0.833579903698233,0.7976690370340696,0.8673584366885272,0.8665647403030926,0.8710205752891801,-0.8817902616930066,-0.874088291746641,0.874088291746641
adults_LightGBM_SPSA_2025_1750185660,adults,LightGBM,SPSA,2025,"0.1, 0.01, 0.001",0.8506500153546934,0.7474929102373825,0.8590993531454425,0.710553315193248,0.8316343478354711,0.8532802216554782,0.8506500153546934,-0.8520378783031544,-0.8555342290467051,0.8555342290467051
adults_LightGBM_SPSA_42_1750185590,adults,LightGBM,SPSA,42,"0.1, 0.01, 0.001",0.8774695465247211,0.8212683991748277,0.8454560170663614,0.803520331158434,0.8735196666908932,0.8732651430311279,0.8774695465247211,-0.8826860323757119,-0.8769033909149072,0.8769033909149072
adults_LightGBM_SPSA_42_1750185594,adults,LightGBM,SPSA,42,"0.1, 0.01, 0.001",0.8548469648889344,0.7549679841180734,0.8679359381943732,0.7168297639682283,0.8365270107440146,0.8589043515469541,0.8548469648889344,-0.853573485187792,-0.854254638515675,0.854254638515675
adults_XGBoost_Adam_1337_1750163474,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_Adam_1337_1750163478,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_Adam_1337_1750163481,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_Adam_1337_1750185321,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_Adam_1337_1750185325,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_Adam_1337_1750185328,adults,XGBoost,Adam,1337,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_Adam_2025_1750185356,adults,XGBoost,Adam,2025,"0.1, 0.01, 0.001",0.8702016583068891,0.8106986398522449,0.8340515804645687,0.79361301619611,0.8660298198758898,0.8654647090178768,0.8702016583068891,-0.8863970823469192,-0.8760076775431862,0.8760076775431862
adults_XGBoost_Adam_2025_1750185359,adults,XGBoost,Adam,2025,"0.1, 0.01, 0.001",0.8507523799774798,0.7525044945783562,0.8482350576742713,0.7172163545335651,0.8338004296454133,0.8500115191527584,0.8507523799774798,-0.8526137308848935,-0.853998720409469,0.853998720409469
adults_XGBoost_Adam_2025_1750185362,adults,XGBoost,Adam,2025,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_Adam_42_1750163440,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.8764459002968574,0.8183702452225501,0.8461835500879953,0.7987434497174404,0.8719146534943544,0.8720653552288408,0.8764459002968574,-0.8852133853733444,-0.8766474728087013,0.8766474728087013
adults_XGBoost_Adam_42_1750163444,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.8527996724332071,0.7569376426417613,0.8504375008195969,0.7214935144993478,0.8365179715297537,0.8521137638860754,0.8527996724332071,-0.8521338537334442,-0.8531030070377479,0.8531030070377479
adults_XGBoost_Adam_42_1750163447,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_Adam_42_1750185286,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.8764459002968574,0.8183702452225501,0.8461835500879953,0.7987434497174404,0.8719146534943544,0.8720653552288408,0.8764459002968574,-0.8852133853733444,-0.8766474728087013,0.8766474728087013
adults_XGBoost_Adam_42_1750185290,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.8527996724332071,0.7569376426417613,0.8504375008195969,0.7214935144993478,0.8365179715297537,0.8521137638860754,0.8527996724332071,-0.8521338537334442,-0.8531030070377479,0.8531030070377479
adults_XGBoost_Adam_42_1750185294,adults,XGBoost,Adam,42,"0.1, 0.01, 0.001",0.7606715119254785,0.4320348837209302,0.3803357559627393,0.5,0.6572732564090966,0.5786211490549934,0.7606715119254785,-0.7607332522874144,-0.7607165706973769,0.7607165706973769
adults_XGBoost_QNG_1337_1750163491,adults,XGBoost,QNG,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_QNG_1337_1750163495,adults,XGBoost,QNG,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_QNG_1337_1750185338,adults,XGBoost,QNG,1337,"0.1, 0.01, 0.001",0.8736820554816256,0.8130621728689674,0.8438343803280803,0.7920898499442662,0.8685604763286596,0.8690314977749569,0.8736820554816256,-0.8831019259069678,-0.8802303262955854,0.8802303262955854
adults_XGBoost_QNG_1337_1750185342,adults,XGBoost,QNG,1337,"0.1, 0.01, 0.001",0.8534138601699253,0.7610807426802881,0.8450975640462408,0.726880686979464,0.8385140651526612,0.8511027953177458,0.8534138601699253,-0.8566766907671636,-0.855790147152911,0.855790147152911
adults_XGBoost_QNG_2025_1750185373,adults,XGBoost,QNG,2025,"0.1, 0.01, 0.001",0.8702016583068891,0.8106986398522449,0.8340515804645687,0.79361301619611,0.8660298198758898,0.8654647090178768,0.8702016583068891,-0.8863970823469192,-0.8760076775431862,0.8760076775431862
